Time;Command;AffectedRows;ElapsedTime
2018.04.10_00:26:43;DML_INSERT;20000;8198
2018.04.10_00:26:50;DML_INSERT;20000;7335
2018.04.10_00:26:59;DML_INSERT;20000;8284
2018.04.10_00:27:07;DML_INSERT;20000;7902
2018.04.10_00:27:15;DML_INSERT;20000;7842
2018.04.10_00:27:22;DML_INSERT;20000;7406
2018.04.10_00:27:30;DML_INSERT;20000;7820
2018.04.10_00:27:39;DML_INSERT;20000;8089
2018.04.10_00:27:46;DML_INSERT;20000;7270
2018.04.10_00:27:54;DML_INSERT;20000;7959
2018.04.10_00:28:02;DML_INSERT;20000;8206
2018.04.10_00:28:11;DML_INSERT;20000;7938
2018.04.10_00:28:18;DML_INSERT;20000;7475
2018.04.10_00:28:26;DML_INSERT;20000;7523
2018.04.10_00:28:35;DML_INSERT;20000;8894
2018.04.10_00:28:43;DML_INSERT;20000;7465
2018.04.10_00:42:57;DML_DELETE;2000000;5566
2018.04.10_00:56:48;DML_INSERT;30000;13215
2018.04.10_00:57:02;DML_INSERT;30000;14154
2018.04.10_00:57:16;DML_INSERT;30000;13321
2018.04.10_00:57:28;DML_INSERT;30000;12411
2018.04.10_00:57:42;DML_INSERT;30000;13464
2018.04.10_00:57:55;DML_INSERT;30000;12379
2018.04.10_00:58:08;DML_INSERT;30000;12763
2018.04.10_00:58:21;DML_INSERT;30000;12777
2018.04.10_00:58:34;DML_INSERT;30000;12491
2018.04.10_00:58:46;DML_INSERT;30000;12265
2018.04.10_00:58:59;DML_INSERT;30000;12409
2018.04.10_00:59:12;DML_INSERT;30000;12516
2018.04.10_00:59:25;DML_INSERT;30000;12660
2018.04.10_00:59:38;DML_INSERT;30000;13085
2018.04.10_00:59:51;DML_INSERT;30000;12772
2018.04.10_01:00:04;DML_INSERT;30000;12234
2018.04.10_01:00:17;DML_INSERT;30000;12869
2018.04.10_01:00:29;DML_INSERT;30000;12256
2018.04.10_01:00:42;DML_INSERT;30000;12407
2018.04.10_01:00:55;DML_INSERT;30000;12515
2018.04.10_01:01:07;DML_INSERT;30000;12136
2018.04.10_01:01:20;DML_INSERT;30000;12812
2018.04.10_01:01:33;DML_INSERT;30000;12695
2018.04.10_01:01:46;DML_INSERT;30000;12155
2018.04.10_01:01:58;DML_INSERT;30000;12004
2018.04.10_01:02:10;DML_INSERT;30000;12154
2018.04.10_01:02:23;DML_INSERT;30000;12300
2018.04.10_01:02:36;DML_INSERT;30000;12535
2018.04.10_01:02:48;DML_INSERT;30000;12514
2018.04.10_01:03:01;DML_INSERT;30000;12715
2018.04.10_01:03:15;DML_INSERT;30000;13389
2018.04.10_01:03:29;DML_INSERT;30000;13129
2018.04.10_01:03:44;DML_INSERT;30000;14881
2018.04.10_01:03:58;DML_INSERT;30000;13569
2018.04.10_01:04:14;DML_INSERT;30000;15600
2018.04.10_01:04:27;DML_INSERT;30000;13233
2018.04.10_01:04:41;DML_INSERT;30000;13580
2018.04.10_01:04:54;DML_INSERT;30000;12739
2018.04.10_01:05:08;DML_INSERT;30000;13266
2018.04.10_01:05:22;DML_INSERT;30000;13734
2018.04.10_01:05:36;DML_INSERT;30000;13896
2018.04.10_01:05:50;DML_INSERT;30000;14099
2018.04.10_01:06:05;DML_INSERT;30000;14653
2018.04.10_01:06:20;DML_INSERT;30000;13980
2018.04.10_01:06:34;DML_INSERT;30000;14173
2018.04.10_01:06:49;DML_INSERT;30000;14359
2018.04.10_01:07:04;DML_INSERT;30000;15246
2018.04.10_01:07:20;DML_INSERT;30000;15655
2018.04.10_01:07:35;DML_INSERT;30000;14106
2018.04.10_01:07:50;DML_INSERT;30000;15086
2018.04.10_01:08:05;DML_INSERT;30000;14972
2018.04.10_01:08:23;DML_INSERT;30000;17587
2018.04.10_01:08:40;DML_INSERT;30000;16677
2018.04.10_01:08:56;DML_INSERT;30000;15705
2018.04.10_01:09:14;DML_INSERT;30000;16870
2018.04.10_01:09:30;DML_INSERT;30000;15527
2018.04.10_01:09:47;DML_INSERT;30000;17337
2018.04.10_01:10:04;DML_INSERT;30000;16453
2018.04.10_01:10:22;DML_INSERT;30000;17301
2018.04.10_01:10:35;DML_INSERT;30000;13303
2018.04.10_01:10:47;DML_INSERT;30000;11698
2018.04.10_01:11:00;DML_INSERT;30000;12034
2018.04.10_01:11:12;DML_INSERT;30000;11805
2018.04.10_01:11:24;DML_INSERT;30000;12256
2018.04.10_01:11:36;DML_INSERT;30000;11825
2018.04.10_01:11:48;DML_INSERT;30000;11745
2018.04.10_01:12:00;DML_INSERT;30000;10905
2018.04.10_01:12:11;DML_INSERT;30000;11046
2018.04.10_01:12:23;DML_INSERT;30000;11572
2018.04.10_01:12:34;DML_INSERT;30000;11044
2018.04.10_01:12:46;DML_INSERT;30000;11777
2018.04.10_01:12:58;DML_INSERT;30000;11526
